Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
13-Feb-24,EQ,911.6,919.1,894,911.6,907.95,906.9,907.32,950,400.45,"85,74,218","7,77,95,85,680.05","2,31,171"
14-Feb-24,EQ,900,919.95,894.35,906.9,918.5,918.3,908.86,950,400.45,"65,70,939","5,97,20,68,977.20","1,83,347"
15-Feb-24,EQ,923.7,927,916.35,918.3,920.55,920.55,921.13,950,400.45,"64,30,799","5,92,35,96,433.30","1,82,677"
16-Feb-24,EQ,925,948.8,924.1,920.55,938.4,938.6,941.47,950,400.45,"1,28,26,164","12,07,54,06,001.80","2,66,600"
19-Feb-24,EQ,942.95,942.95,931.05,938.6,933.8,932.6,934.1,950,400.45,"46,32,214","4,32,69,48,761.15","1,37,170"
20-Feb-24,EQ,934.45,934.65,920.4,932.6,927.65,926.35,926.54,950,400.45,"47,33,639","4,38,58,87,798.70","1,53,026"
21-Feb-24,EQ,926.35,937.2,916.5,926.35,921.5,921.05,927.22,950,400.45,"60,11,018","5,57,35,15,628.15","1,57,853"
22-Feb-24,EQ,924.65,933.85,914.6,921.05,932,932.3,924.59,950,400.45,"64,37,014","5,95,15,96,828.20","1,86,849"
23-Feb-24,EQ,933.1,939.8,929.4,932.3,935.05,937.4,935.7,950,400.45,"70,47,473","6,59,43,19,211.95","1,77,363"
26-Feb-24,EQ,937.1,945,930.7,937.4,937,936.95,939.4,950,400.45,"56,00,234","5,26,08,57,679.25","1,55,986"
27-Feb-24,EQ,936.75,965,935.5,936.95,962.55,962.7,952.91,965,400.45,"1,28,10,206","12,20,69,13,965.65","2,55,150"
28-Feb-24,EQ,966.15,976,950.3,962.7,956.45,958.05,964.72,976,400.45,"1,52,19,187","14,68,23,25,105.15","2,74,090"
29-Feb-24,EQ,959,959.25,942.9,958.05,954.8,950.2,951.04,976,400.45,"1,03,46,657","9,84,01,23,082.15","2,65,774"
1-Mar-24,EQ,958.95,980.4,956.7,950.2,978,977.4,973.55,980.4,400.45,"1,06,45,369","10,36,38,17,721.85","2,62,649"
2-Mar-24,EQ,987,992.6,981.55,977.4,989,988.35,988.11,992.6,400.45,"17,83,565","1,76,23,52,615.40","44,527"
4-Mar-24,EQ,993.25,995,980.1,988.35,988.9,987.2,987.44,995,400.45,"60,84,495","6,00,80,71,877.35","1,72,305"
5-Mar-24,EQ,"1,027.00","1,065.60","1,005.35",987.2,"1,022.60","1,021.90","1,034.27","1,065.60",400.45,"5,98,11,033","61,86,08,32,911.30","10,21,819"
6-Mar-24,EQ,"1,025.00","1,030.65","1,009.00","1,021.90","1,018.30","1,017.65","1,017.80","1,065.60",400.45,"1,42,14,823","14,46,78,13,308.05","3,24,328"
7-Mar-24,EQ,"1,025.00","1,047.00","1,014.05","1,017.65","1,038.00","1,039.30","1,034.02","1,065.60",400.45,"1,68,77,082","17,45,12,86,445.70","3,34,768"
11-Mar-24,EQ,"1,034.75","1,035.95","1,021.00","1,039.30","1,029.00","1,028.00","1,028.41","1,065.60",400.45,"75,02,450","7,71,56,05,116.35","2,26,237"
